#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	ecosystem	isolate	latitude	longitude	season	condition	description
SRR10245278	SRR10245278_1.fastq	SRR10245278_2.fastq	Pig	Serengeti	Pig	2.1540	34.6857	Dry	Processed	Suidae
SRR10245280	SRR10245280_1.fastq	SRR10245280_2.fastq	Gazelle	Selous	Gazelle	9.0000	37.5000	Rainy	Fresh	Gazella
SRR10245282	SRR10245282_1.fastq	SRR10245282_2.fastq	Zebra	Selous	Zebra	9.0000	37.5000	Rainy	Fresh	Equus burchellii quagga
SRR10245284	SRR10245284_1.fastq	SRR10245284_2.fastq	Pig	Selous	Pig	9.0000	37.5000	Rainy	Fresh	Suidae
SRR10245286	SRR10245286_1.fastq	SRR10245286_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245287	SRR10245287_1.fastq	SRR10245287_2.fastq	Hippo	Selous	Hippo	9.0000	37.5000	Rainy	Fresh	Hippopotamus amphibius
SRR10245288	SRR10245288_1.fastq	SRR10245288_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Fresh	Aepyceros melampus
SRR10245291	SRR10245291_1.fastq	SRR10245291_2.fastq	Buffalo	Selous	Buffalo	9.0000	37.5000	Rainy	Fresh	Syncerus caffer
SRR10245292	SRR10245292_1.fastq	SRR10245292_2.fastq	Cane Rat	Selous	Cane Rat	9.0000	37.5000	Rainy	Fresh	Thryonomys
SRR10245294	SRR10245294_1.fastq	SRR10245294_2.fastq	Gazelle	Selous	Gazelle	9.0000	37.5000	Rainy	Fresh	Gazella
SRR10245295	SRR10245295_1.fastq	SRR10245295_2.fastq	Zebra	Selous	Zebra	9.0000	37.5000	Rainy	Fresh	Equus burchellii quagga
SRR10245298	SRR10245298_1.fastq	SRR10245298_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Fresh	Aepyceros melampus
SRR10245301	SRR10245301_1.fastq	SRR10245301_2.fastq	Wildebeest	Ruaha	Wildebeest	7.3860	34.9563	Rainy	Fresh	Connochaetes taurinus
SRR10245303	SRR10245303_1.fastq	SRR10245303_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
