taxon	F3D001	F3D006	F3D142	F3D143	M1D001	M1D006	M1D142	M1D143
Actinomycetaceae	0	0	1	0	0	0	0	0
Bacillaceae	0	0	1	0	0	0	0	0
Bacteroidaceae	127	507	202	116	834	2049	253	390
Bifidobacteriaceae	0	0	24	7	0	0	19	82
Clostridiaceae_1	0	0	9	6	2	210	1	0
Deinococcaceae	0	0	2	1	0	0	0	0
Eggerthellaceae	0	0	1	0	0	0	0	0
Enterobacteriaceae	2	4	0	0	0	2	0	2
Erysipelotrichaceae	0	0	47	35	2	0	36	87
Family_XIII	9	21	10	10	8	9	11	17
Lachnospiraceae	2082	1392	261	464	1243	2368	1114	192
Lactobacillaceae	242	456	125	107	67	31	258	477
Listeriaceae	0	0	1	0	0	0	0	0
Mollicutes_RF39_fa	91	65	7	10	4	14	0	1
Muribaculaceae	971	2555	1208	1230	2346	5160	3943	5460
Neisseriaceae	0	0	1	0	0	0	0	0
Pseudomonadaceae	6	5	1	1	0	1	0	0
Rikenellaceae	175	236	77	86	63	473	157	78
Ruminococcaceae	439	377	69	65	350	658	192	44
Saccharimonadaceae	25	15	3	3	1	3	0	0
Staphylococcaceae	0	0	1	0	0	0	0	0
Streptococcaceae	6	2	0	1	0	2	0	1
Xanthomonadaceae	1	0	0	0	0	0	0	0
