taxon	F3D001	F3D006	F3D142	F3D143	M1D001	M1D006	M1D142	M1D143
Actinomyces	0	0	1	0	0	0	0	0
Alistipes	175	236	77	86	63	473	157	78
Bacillus	0	0	1	0	0	0	0	0
Bacteroides	127	507	202	116	834	2049	253	390
Bifidobacterium	0	0	24	7	0	0	19	82
Blautia	0	2	0	2	0	1	3	0
Butyrivibrio	0	0	2	3	0	2	3	0
CAG-352	0	1	0	0	0	0	0	0
Candidatus_Arthromitus	0	0	4	1	1	210	1	0
Candidatus_Saccharimonas	25	15	3	3	1	3	0	0
Caproiciproducens	0	2	0	1	0	0	0	0
Clostridium_sensu_stricto_1	0	0	1	3	0	0	0	0
Deinococcus	0	0	2	1	0	0	0	0
Eggerthella	0	0	1	0	0	0	0	0
Escherichia-Shigella	2	4	0	0	0	2	0	2
Family_XIII_ge	9	21	7	7	8	9	8	14
Flavonifractor	34	14	3	3	33	99	5	1
Fusicatenibacter	31	21	2	4	20	44	8	5
Hydrogenoanaerobacterium	7	1	0	0	9	25	4	0
Lachnoclostridium	40	13	0	1	22	24	8	1
Lachnospiraceae_FCS020_group	4	8	0	0	9	8	4	2
Lachnospiraceae_ge	1	0	1	0	0	0	0	0
Lachnospiraceae_UCG-006	9	11	5	7	8	36	15	3
Lactobacillus	241	455	125	107	67	31	258	477
Listeria	0	0	1	0	0	0	0	0
Mollicutes_RF39_ge	91	65	7	10	4	14	0	1
Muribaculaceae_ge	971	2555	1208	1230	2346	5160	3943	5460
Neisseria	0	0	1	0	0	0	0	0
Oscillospira	96	99	4	1	64	148	17	3
Pseudomonas	6	5	1	1	0	1	0	0
Roseburia	42	27	2	10	23	39	37	7
Ruminococcaceae_ge	0	0	0	0	0	1	0	3
Ruminococcaceae_UCG-002	0	0	1	0	0	1	1	0
Ruminococcaceae_UCG-005	0	0	1	1	2	8	2	2
Ruminococcaceae_UCG-014	0	1	1	2	0	1	2	2
Staphylococcus	0	0	1	0	0	0	0	0
Stenotrophomonas	1	0	0	0	0	0	0	0
Streptococcus	6	2	0	1	0	2	0	1
Syntrophococcus	2	1	2	0	0	3	0	1
Turicibacter	0	0	45	35	2	0	36	87
Tyzzerella	16	13	0	0	3	13	2	0
Tyzzerella_3	0	6	0	0	0	12	0	0
