#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F3D000	NA	NA	NA	F3D0_S188_L001_R1_001.fastq.gz	F3D0_S188_L001_R2_001.fastq.gz	F3D0	Female	Early	D000	0	iMAPcasestudySet
F3D001	NA	NA	NA	F3D1_S189_L001_R1_001.fastq.gz	F3D1_S189_L001_R2_001.fastq.gz	F3D1	Female	Early	D001	1	iMAPcasestudySet
F3D002	NA	NA	NA	F3D2_S190_L001_R1_001.fastq.gz	F3D2_S190_L001_R2_001.fastq.gz	F3D2	Female	Early	D002	2	iMAPcasestudySet
F3D003	NA	NA	NA	F3D3_S191_L001_R1_001.fastq.gz	F3D3_S191_L001_R2_001.fastq.gz	F3D3	Female	Early	D003	3	iMAPcasestudySet
F3D005	NA	NA	NA	F3D5_S193_L001_R1_001.fastq.gz	F3D5_S193_L001_R2_001.fastq.gz	F3D5	Female	Early	D005	5	iMAPcasestudySet
F3D006	NA	NA	NA	F3D6_S194_L001_R1_001.fastq.gz	F3D6_S194_L001_R2_001.fastq.gz	F3D6	Female	Early	D006	6	iMAPcasestudySet
F3D007	NA	NA	NA	F3D7_S195_L001_R1_001.fastq.gz	F3D7_S195_L001_R2_001.fastq.gz	F3D7	Female	Early	D007	7	iMAPcasestudySet
F3D008	NA	NA	NA	F3D8_S196_L001_R1_001.fastq.gz	F3D8_S196_L001_R2_001.fastq.gz	F3D8	Female	Early	D008	8	iMAPcasestudySet
F3D009	NA	NA	NA	F3D9_S197_L001_R1_001.fastq.gz	F3D9_S197_L001_R2_001.fastq.gz	F3D9	Female	Early	D009	9	iMAPcasestudySet
F3D011	NA	NA	NA	F3D11_S198_L001_R1_001.fastq.gz	F3D11_S198_L001_R2_001.fastq.gz	F3D11	Female	Early	D011	11	iMAPcasestudySet
F3D013	NA	NA	NA	F3D13_S199_L001_R1_001.fastq.gz	F3D13_S199_L001_R2_001.fastq.gz	F3D13	Female	Early	D013	13	iMAPcasestudySet
F3D015	NA	NA	NA	F3D15_S200_L001_R1_001.fastq.gz	F3D15_S200_L001_R2_001.fastq.gz	F3D15	Female	Early	D015	15	iMAPcasestudySet
F3D017	NA	NA	NA	F3D17_S201_L001_R1_001.fastq.gz	F3D17_S201_L001_R2_001.fastq.gz	F3D17	Female	Early	D017	17	iMAPcasestudySet
F3D019	NA	NA	NA	F3D19_S202_L001_R1_001.fastq.gz	F3D19_S202_L001_R2_001.fastq.gz	F3D19	Female	Early	D019	19	iMAPcasestudySet
F3D021	NA	NA	NA	F3D21_S203_L001_R1_001.fastq.gz	F3D21_S203_L001_R2_001.fastq.gz	F3D21	Female	Early	D021	21	iMAPcasestudySet
F3D025	NA	NA	NA	F3D25_S204_L001_R1_001.fastq.gz	F3D25_S204_L001_R2_001.fastq.gz	F3D25	Female	Early	D025	25	iMAPcasestudySet
